step,wall,approx_kl,clip_frac,eval_1mU_at_best,eval_JT_end,eval_JT_min,eval_len,eval_return,eval_t_JT_min,eval_t_first_PE,frac_done,mean_reward,min_JT,pg_loss,v_loss
8192,4.380729434022214,0.001601187689304711,0.009179688058793545,,,,,,,,0.0078125,0.6464422941207886,0.0700840826383437,-0.0027675736954216375,41.61655807495117
16384,6.846164314018097,0.003990898676918837,0.04672851786017418,,,,,,,,0.015625,0.6489940285682678,0.09783636275009111,-0.005915762437843761,7.178927898406982
24576,8.503778945014346,0.0028964389980644964,0.02691650390625,,,,,,,,0.015625,0.6578957438468933,0.09807525071938374,-0.003074282624724163,2.1833126544952393
32768,10.538878409017343,0.003401218862325507,0.03050537221133709,0.001441081373784403,0.215262371226437,0.21497160972706567,66,43.48350106960378,45.0,nan,0.015625,0.6567278504371643,0.10288747296385926,-0.0034277946263652744,1.2766884565353394
40960,14.094159894011682,0.004295578749397798,0.04420166090130806,,,,,,,,0.015625,0.6632855534553528,0.12600743503275189,-0.004287489493883515,0.46639737486839294
49152,16.39312382999924,0.004755550906697748,0.05223388597369194,,,,,,,,0.015625,0.6642978191375732,0.13167409531178573,-0.0064524104066309325,0.3930850028991699
57344,18.503270848013926,0.00499039090545389,0.05517578125,,,,,,,,0.015625,0.6657838225364685,0.13194359139464987,-0.006250343696380326,0.32384076714515686
65536,20.756625039997743,0.004191440154940838,0.04108886793255806,0.0021745887353019633,0.2150523872958685,0.21504635130163643,66,43.439020386189895,0.75,nan,0.015625,0.668660581111908,0.11257807978097117,-0.004902420610765481,0.10985717922449112
73728,22.989740760996938,0.00453026565738401,0.04742431640625,,,,,,,,0.015625,0.6718459725379944,0.12838120522129884,-0.004450043144772077,0.12982533872127533
81920,25.136530371994013,0.004536658856910754,0.04779052734375,,,,,,,,0.015625,0.6744122505187988,0.04056037397863056,-0.0048039852555587376,0.3331545293331146
90112,27.339799787005177,0.004106832175657354,0.04062500223517418,,,,,,,,0.015625,0.6771920919418335,0.08063562582911614,-0.0034769457440642013,0.32061758637428284
98304,29.537820963014383,0.0035183138116940925,0.02866210974752903,0.0009066749925176198,0.18178732816001975,0.18032718073164644,66,46.173954818327914,48.75,nan,0.015625,0.6781219840049744,0.08345085159755121,-0.002797765397206681,0.526777446269989
106496,32.07302132001496,0.004588772753741428,0.04897461086511612,,,,,,,,0.015625,0.6727755665779114,0.11253567560538306,-0.004414253978537616,0.6791563034057617
114688,34.53176164400065,0.0059845695262059646,0.06981201469898224,,,,,,,,0.015625,0.6807655096054077,0.13852960823397473,-0.0054823663648267025,0.17121875286102295
122880,36.870560466020834,0.005357099210156233,0.06502685695886612,,,,,,,,0.015625,0.6776960492134094,0.12397707036714051,-0.005003950948978012,0.21466727554798126
131072,39.10194179500104,0.00408748571965563,0.03995361551642418,0.0012425006296786778,0.1966842411098392,0.1947391893079375,66,45.05918891818818,40.5,nan,0.015625,0.6742066740989685,0.14927822111072078,-0.003966257569379421,0.09292086213827133
139264,41.438297645014245,0.005154366245799208,0.05914306640625,,,,,,,,0.0078125,0.6799103021621704,0.10556264206435836,-0.005445930752346691,0.06010180711746216
147456,43.5890909320151,0.00676180318842734,0.08800049126148224,,,,,,,,0.015625,0.6844366788864136,0.1045871324909521,-0.007386711782738923,0.13314183056354523
155648,45.96525699499762,0.004319255475730657,0.04573974758386612,,,,,,,,0.015625,0.6871766448020935,0.10718166895669276,-0.004205940659278542,0.4855799376964569
163840,48.11742114601657,0.005023116961910601,0.05905761942267418,0.0003914518685423918,0.14151104648875842,0.14011346983559528,66,49.76078393435459,46.5,nan,0.015625,0.692996621131897,0.10500320350656901,-0.004405527076915993,0.3807510435581207
172032,50.3923661300214,0.005074583676790888,0.05684814602136612,,,,,,,,0.015625,0.6962406635284424,0.11113193631305189,-0.0050142162070748305,0.31148701906204224
180224,52.65944150101859,0.004353452521170559,0.04692382737994194,,,,,,,,0.015625,0.6962721943855286,0.11089995555410925,-0.0035590346597209445,0.30213937163352966
188416,54.860989891021745,0.004489696230258855,0.048828125,,,,,,,,0.015625,0.7046123743057251,0.07244792577017835,-0.0035304451128738558,0.3857097625732422
196608,57.01724980599829,0.004060400073899247,0.03873291239142418,0.0004265872718903774,0.1224141300450206,0.1204763709524737,66,51.9138434099339,48.75,nan,0.015625,0.7134544849395752,0.08007809147053577,-0.0029586731823598856,0.36196884512901306
204800,59.33577059299569,0.00477640767345098,0.052490234375,,,,,,,,0.015625,0.715895414352417,0.11460493841457543,-0.003364386500629148,0.25147736072540283
212992,61.7116334370221,0.0041270956067453,0.04409179836511612,,,,,,,,0.015625,0.7268094420433044,0.09756648477401905,-0.0031927958008384147,0.30178624391555786
221184,64.04399381901021,0.005613157216048447,0.0667724609375,,,,,,,,0.015625,0.7236029505729675,0.09319089754496157,-0.004811468801766518,0.6267040371894836
229376,66.2695046820154,0.0048502880992148875,0.053466796875,0.0022016876098976956,0.10790320181192885,0.10790320181192885,66,53.41421567652469,49.5,nan,0.015625,0.7348117232322693,0.0807602777529412,-0.003746063203681119,0.45645150542259216
237568,68.62696416600375,0.004605063544786811,0.04377441480755806,,,,,,,,0.015625,0.7328152656555176,0.08378785076291506,-0.004299494243718976,0.8385493159294128
245760,70.92678196800989,0.005986308928754593,0.06873779743909836,,,,,,,,0.015625,0.7457313537597656,0.07271896673121046,-0.0042439870628068425,0.5012775659561157
253952,73.09963776101358,0.005787460661394787,0.06697998195886612,,,,,,,,0.015625,0.7636358141899109,0.06692764841069193,-0.004385725388494653,0.48858481645584106
262144,75.11641074100044,0.004937450197215106,0.05101318284869194,0.0005427485338074245,0.07915091091155654,0.07891077821769374,66,57.48813779309076,48.0,nan,0.015625,0.7637059092521667,0.07402147969977721,-0.0033191853877085967,0.8311607241630554
270336,77.10405274899676,0.005298789275634353,0.06029052659869194,,,,,,,,0.015625,0.7802894115447998,0.06117200390195515,-0.004062935766222245,0.5297793745994568
278528,79.0754431450041,0.005686790773134352,0.06300049275159836,,,,,,,,0.0078125,0.7781767845153809,0.06516775223480606,-0.004342988589688873,0.5366812944412231
286720,81.08684790501138,0.006096995761652556,0.07304687798023224,,,,,,,,0.015625,0.7838680148124695,0.06178923511539741,-0.004758274260122504,0.5280084013938904
294912,83.15197894201265,0.004950554650855013,0.05421142652630806,0.0019735535762890333,0.05265317084979783,0.051353541904508,66,61.8635446061946,48.75,nan,0.015625,0.7841763496398926,0.03959767295658109,-0.0025741192541391834,0.9493536353111267
303104,85.18224657099927,0.00487137547267241,0.05051269754767418,,,,,,,,0.015625,0.780017077922821,0.04402678631884184,-0.0035777661406408106,1.3273897171020508
311296,87.25267640501261,0.004911818418686779,0.05224609375,,,,,,,,0.015625,0.7886679768562317,0.05629668377840028,-0.0037806667288326798,0.6484864354133606
319488,89.28859204801847,0.0051032473978324545,0.05738525465130806,,,,,,,,0.015625,0.7953914999961853,0.04953271291298775,-0.0031081767736707193,0.5691520571708679
327680,91.32695533000515,0.005208173269040951,0.05687255784869194,0.0016998526006396508,0.058067138369739035,0.057284763612344615,66,60.97007168440839,47.25,nan,0.015625,0.8017539978027344,0.04842943166205854,-0.003192401139570319,0.5031105875968933
335872,93.44369798799744,0.005409224584544733,0.05930176004767418,,,,,,,,0.015625,0.8037418723106384,0.04919282171432803,-0.0027671336114146357,0.6231729388237
344064,95.49879462999525,0.004726200682196037,0.05020752176642418,,,,,,,,0.015625,0.8074127435684204,0.032207328861781494,-0.002297601069817271,1.031040072441101
352256,97.48167224501958,0.005613606913926325,0.0657958984375,,,,,,,,0.015625,0.8088214993476868,0.042361784374736845,-0.003429853737358865,0.9771978259086609
360448,99.50353847601218,0.004571810213002395,0.0518798828125,0.001904692188156476,0.04490106665654915,0.04356414649523254,66,64.11835032632202,48.75,nan,0.015625,0.8318408727645874,0.030899774539995428,-0.001843899617720657,0.8424125909805298
368640,101.56299304700224,0.00436451823800651,0.04429931566119194,,,,,,,,0.015625,0.8234953880310059,0.042103053428297114,-0.0019124168384023936,1.0381015539169312
376832,103.56977466499666,0.005076124341304168,0.05706787109375,,,,,,,,0.015625,0.8270689249038696,0.04040394501075889,-0.0026338150120841877,1.217496633529663
385024,105.63013926200802,0.005319917231237247,0.06044922024011612,,,,,,,,0.015625,0.835762619972229,0.028800990451916544,-0.002351076221890525,1.2564573287963867
393216,107.65029406899703,0.004820916109309025,0.05292968824505806,0.002877355405891624,0.037653316585315844,0.037653316585315844,66,66.05346612907846,49.5,nan,0.015625,0.8279461860656738,0.03395929635417984,-0.0018859465804303068,1.6284115314483643
401408,109.69599279999966,0.005232624465201251,0.05657958984375,,,,,,,,0.015625,0.8479002714157104,0.023890140755703317,-0.0026281290459377327,1.1377607583999634
409600,111.74446341401199,0.004131209803039544,0.03999023512005806,,,,,,,,0.0078125,0.8330698013305664,0.028114578138425852,-0.0013323372386583082,1.599733591079712
417792,113.76389483601088,0.006527896067822537,0.07841797173023224,,,,,,,,0.015625,0.8280287384986877,0.03128755142731817,-0.0020210875866004618,0.9913890957832336
425984,115.74969760602107,0.004936259497888617,0.05267333984375,0.0008851441899261348,0.03478954010769021,0.030959552959391647,66,67.42476568305997,48.75,nan,0.015625,0.8271064758300781,0.039362784610838676,-0.0013374152986310062,1.2364085912704468
434176,117.78788168399478,0.004958242812817516,0.05321044847369194,,,,,,,,0.015625,0.8403728008270264,0.03159130826452875,-0.001540506950211921,0.8484706878662109
442368,119.82252927799709,0.00612309603549287,0.07260742038488388,,,,,,,,0.015625,0.8404645919799805,0.03580461957101088,-0.002337003365327455,0.7473516464233398
450560,121.82678863100591,0.0047041396482465974,0.05104980617761612,,,,,,,,0.015625,0.8389566540718079,0.032381255045076905,-0.0009411563295558834,0.7547864317893982
458752,123.86830515300971,0.005276509330354586,0.05780029296875,0.003046672420497054,0.04043855391484742,0.04043855391484742,66,65.66996428486259,49.5,nan,0.015625,0.8450186848640442,0.03985285733181895,-0.0011843299144015903,0.735850989818573
466944,125.8712300650077,0.00508999848432609,0.05692138895392418,,,,,,,,0.015625,0.8380294442176819,0.03819343239479553,-0.00163354162473603,0.8381356596946716
475136,127.8704893370159,0.004893757904469342,0.05108642578125,,,,,,,,0.015625,0.8519790768623352,0.03678854404062365,-0.000988841925132001,1.2414608001708984
483328,129.8679006230086,0.0051160355859166465,0.05471191555261612,,,,,,,,0.015625,0.8488041162490845,0.030517011319080058,-0.002315535365901731,1.4106305837631226
491520,131.89264946701587,0.006156619139922874,0.07532959431409836,0.0018692504216187844,0.03109002797820798,0.029742806438009185,66,68.76855794485475,48.75,nan,0.015625,0.8576874732971191,0.0309191236562547,-0.0024957709863749826,1.1441820859909058
499712,134.07734953501495,0.005377757147854427,0.06320800632238388,,,,,,,,0.015625,0.8589906096458435,0.027961620593805615,-0.0016392852442630272,1.1795928478240967
507904,136.1468752110086,0.005011608461074651,0.05510253831744194,,,,,,,,0.015625,0.8587580919265747,0.02827064611700324,-0.002008841742790961,1.7138439416885376
516096,138.21521949602175,0.005518216006455824,0.0615234375,,,,,,,,0.015625,0.8768108487129211,0.029505538162475753,-0.0026278234606133283,1.0767616033554077
524288,140.2009912689973,0.005333693994545361,0.05617675930261612,0.003258277863173231,0.0263107252150529,0.0263107252150529,66,69.82558670099036,49.5,nan,0.015625,0.8677433729171753,0.02942838353725742,-0.002562885214719702,1.0070719718933105
532480,142.31390008502058,0.006285899723709078,0.07623291015625,,,,,,,,0.015625,0.8820692300796509,0.020114632738239404,-0.0027413538114810436,1.4413197040557861
540672,144.38163435799652,0.005961043112612807,0.06956787407398224,,,,,,,,0.015625,0.8853350877761841,0.032174521111787105,-0.0014471490026781648,1.5264829397201538
548864,146.37316953600384,0.006125343596380819,0.07301025837659836,,,,,,,,0.0078125,0.8636857271194458,0.03453285476632106,-0.003219135708010961,1.0222771167755127
557056,148.41665958199883,0.004988694246524039,0.05496826395392418,0.0008965908485349949,0.02944897041874389,0.026973659883682135,66,69.17487387676981,48.75,nan,0.015625,0.8634211421012878,0.032336820515414234,-0.0007682518680999852,0.887877881526947
565248,150.41684437100776,0.00513532529098552,0.05921630933880806,,,,,,,,0.015625,0.8756237030029297,0.03436960112707931,-0.00050440147398082,0.8050050139427185
573440,152.42625797001529,0.006206351155443724,0.07425536960363388,,,,,,,,0.015625,0.8743557333946228,0.028374372341912615,-0.0027966148198123805,0.8360664248466492
581632,154.4423944580194,0.0053662593948242306,0.06181640550494194,,,,,,,,0.015625,0.8762286305427551,0.02810440690946722,-0.0016977856716235817,0.8839318156242371
589824,156.44831686202087,0.005112062877572373,0.05572509765625,0.0010093302692270045,0.024723623024188637,0.022773835784226593,66,71.10154989063122,48.75,nan,0.015625,0.9013662934303284,0.024049064543682108,-0.002398790373453146,0.8728393912315369
598016,158.48044870400918,0.004724617627955518,0.04963378980755806,,,,,,,,0.015625,0.8753759264945984,0.029988397308123763,-0.0007248607028709234,1.2082439661026
606208,160.47755329901702,0.005964445322862808,0.07077636569738388,,,,,,,,0.015625,0.8931393027305603,0.025653208336743685,-0.0019126246533464225,1.218762993812561
614400,162.50176834702143,0.005249334142661984,0.05648193508386612,,,,,,,,0.015625,0.8908472061157227,0.023031539587457087,-0.0019156426169357164,1.2256412506103516
622592,164.48851853000815,0.005678788049252684,0.06846924126148224,0.0029267631740212963,0.02362159437746362,0.02362159437746362,66,71.23662800784338,49.5,nan,0.015625,0.89821857213974,0.02657831322635941,-0.0013667075422419141,1.085471272468567
630784,166.64563045601244,0.006000125786034181,0.07244873046875,,,,,,,,0.015625,0.9084339141845703,0.020954641929758766,-0.0017873600142888275,0.741438090801239
638976,169.9275088830036,0.004964025251188113,0.05108642578125,,,,,,,,0.015625,0.9102113246917725,0.026581750043584353,-0.0015044768160022886,1.1709537506103516
647168,174.41306314000394,0.005070055853988724,0.05643310770392418,,,,,,,,0.015625,0.905140221118927,0.01849404511840541,-0.0014461369749309064,1.4465142488479614
655360,176.59268110300764,0.004123484073524804,0.04038086161017418,0.003433323509146713,0.013940983812950182,0.013940983812950182,66,77.080998996364,49.5,nan,0.015625,0.9103417992591858,0.021945142723730396,-0.000514321907560507,2.182849884033203
663552,179.5442971099983,0.005385538899434868,0.06105957180261612,,,,,,,,0.015625,0.9233916997909546,0.016587187844068242,-0.0019610488542877408,2.3264052867889404
671744,182.5268321140029,0.005046416082171226,0.05686035379767418,,,,,,,,0.015625,0.9156482815742493,0.01852292648672028,-0.000942198173205929,1.8976478576660156
679936,185.76041152799735,0.005828277704285099,0.06618652492761612,,,,,,,,0.0078125,0.9032131433486938,0.024474766196634634,-0.00288969208402993,1.6228229999542236
688128,188.65387490499415,0.005130103706901532,0.05628662183880806,0.002607777751203577,0.013810236596878711,0.013535715541875016,66,76.11549439941096,48.75,nan,0.015625,0.9071362018585205,0.020351668548074766,-0.0010858083657095435,1.4169672727584839
696320,191.25528589999885,0.005114789418943516,0.05711669847369194,,,,,,,,0.015625,0.9132660031318665,0.01934328554700565,-0.0009025581779163024,1.2582619190216064
704512,194.0285702670226,0.0064465108116221696,0.07985839992761612,,,,,,,,0.015625,0.9087232351303101,0.016798403228556448,-0.002149773871523804,1.4809226989746094
712704,197.2323594430054,0.00543027878383202,0.06008300930261612,,,,,,,,0.015625,0.9142189025878906,0.01597483578166864,-0.0015952902992204738,1.6006802320480347
720896,200.25902342100744,0.006106318951816457,0.07255859673023224,0.0037012833657584787,0.009144007405644795,0.009144007405644795,66,79.68229546768083,49.5,nan,0.015625,0.9191751480102539,0.017721585556791854,-0.0012562251482156448,1.5312458276748657
729088,202.69228988300893,0.005539668153502562,0.06330566853284836,,,,,,,,0.015625,0.9189550280570984,0.013489076079936114,-0.0009205995534580449,1.6122722625732422
737280,205.54345270001795,0.005903956042969314,0.06894531100988388,,,,,,,,0.015625,0.9218835234642029,0.01471693797210717,-0.002234344473656631,1.8520301580429077
745472,208.4096026890038,0.00625158268433019,0.07585449516773224,,,,,,,,0.015625,0.9356994032859802,0.013899273101462961,-0.002104365116596846,1.649617075920105
753664,211.30683874399983,0.005446258419196697,0.06307373195886612,0.002344275276430663,0.009690215316791696,0.009468501479215997,66,78.26359514883258,48.75,nan,0.015625,0.9249591827392578,0.018763357282612726,-0.0005381396244969844,1.3848981857299805
761856,214.2662649289996,0.005760640151722906,0.06678467243909836,,,,,,,,0.015625,0.931562602519989,0.014843781453693994,-0.0023046254543638857,1.8462953567504883
770048,217.0824913920078,0.005724953046640113,0.06662597507238388,,,,,,,,0.015625,0.9467962980270386,0.012074076384430955,-0.0007823918400859056,2.099369764328003
778240,220.02288208602113,0.005079941945482507,0.05679931864142418,,,,,,,,0.015625,0.944185197353363,0.009975877163141201,-0.0015590096398233587,2.2999210357666016
786432,223.03120566601865,0.004896473959143409,0.05168456956744194,0.0031492250084245166,0.009467963238411536,0.009467963238411536,66,78.19073282516547,49.5,nan,0.015625,0.9326227903366089,0.0062282297658100005,-0.0002624834380944084,2.3887994289398193
794624,226.17516285402235,0.005155639383120356,0.05805664137005806,,,,,,,,0.015625,0.9444797039031982,0.011511335440266935,-0.0005702928680250857,2.217316150665283
802816,228.81436463102,0.004818998705788346,0.05266113206744194,,,,,,,,0.015625,0.9580968618392944,0.008446136953376404,-0.0006695413527051241,1.7939900159835815
811008,231.0197648910107,0.00529491563921078,0.05903320387005806,,,,,,,,0.015625,0.957932710647583,0.01258285760649821,-0.0011196515315493483,1.9083648920059204
819200,234.01151389200822,0.006573828682453627,0.08159179985523224,0.0033439440224228845,0.006144280045488182,0.006144280045488182,66,82.37609748608993,49.5,nan,0.0078125,0.9225311875343323,0.014873504722192744,-0.002061540128141619,2.1194519996643066
827392,237.13648635300342,0.006571732566617784,0.07686767727136612,,,,,,,,0.015625,0.9451661705970764,0.010983819908276205,-0.001612983480552837,1.8120380640029907
835584,240.2992925629951,0.006193067777827345,0.07467041164636612,,,,,,,,0.015625,0.9465335011482239,0.008586692198667601,-0.0007061164249325942,1.581347107887268
843776,243.92583483300405,0.006477530061721283,0.08039551228284836,,,,,,,,0.015625,0.9565297365188599,0.010688788915970927,-0.000447401087573598,2.102320432662964
851968,248.63690709799994,0.006088745538937492,0.07247314602136612,0.00313010999299701,0.006316117352890361,0.005935727166346306,66,83.61720169890711,48.75,nan,0.015625,0.9674792885780334,0.008494140471602607,-6.176468171406359e-05,1.3816437721252441
860160,251.94445259301574,0.006136241461003843,0.07227783650159836,,,,,,,,0.015625,0.9706426858901978,0.006680278381862282,-0.0009259968877984771,2.3068788051605225
868352,255.0697323869972,0.005695920517506755,0.067138671875,,,,,,,,0.015625,0.9744859337806702,0.0060402082084466515,-0.0006232701489976175,2.1414520740509033
876544,258.0313764270104,0.007075481072163676,0.08687744289636612,,,,,,,,0.015625,0.9863786697387695,0.005674039448907509,-0.000812197734536935,1.9686927795410156
884736,260.90375475402107,0.004813932923661227,0.05137939378619194,0.0038337057191022428,0.006137512421087743,0.006137512421087743,66,84.1384504789381,49.5,nan,0.015625,0.9874195456504822,0.0043009480008838865,-0.00010123750847427043,2.3267276287078857
892928,263.2802233789989,0.007003257372516246,0.08757324516773224,,,,,,,,0.015625,0.9835662841796875,0.006273143337229337,-0.00025345147431631644,1.9427763223648071
901120,265.6018839010212,0.005976344159617989,0.071044921875,,,,,,,,0.015625,0.9840307235717773,0.00783624968828599,-0.0009318318673108218,2.168553113937378
909312,269.1876649770129,0.00637336610956243,0.07581787556409836,,,,,,,,0.015625,1.0037676095962524,0.0058129172534049705,-0.001247135309807326,2.7898178100585938
917504,273.48836700900574,0.006433668778800664,0.07915039360523224,0.0017784362434687395,0.004089354499035147,0.0021589500744723877,66,90.74555780348115,48.75,nan,0.015625,1.0091060400009155,0.004351447181148715,-0.0023036122407176446,2.318131685256958
925696,276.9318997700175,0.0058886370824032365,0.06790771335363388,,,,,,,,0.015625,1.0078890323638916,0.008780465338154231,-0.00035419630287410555,3.2493724822998047
933888,280.5286862240173,0.005527311112216306,0.06170654296875,,,,,,,,0.015625,1.006147861480713,0.00536572933082885,6.914847353075414e-05,2.8879475593566895
942080,283.71338834799826,0.005487905427302691,0.06210937723517418,,,,,,,,0.015625,1.02616548538208,0.007772128517709243,-9.888884075138013e-05,2.509810209274292
950272,286.7079622920137,0.006437486768341921,0.07762451469898224,0.004235808139197883,0.0051881517204916405,0.0051881517204916405,66,85.91211633413157,49.5,nan,0.0078125,1.005155086517334,0.004638362459145051,-0.0013236438421270168,2.967064619064331
958464,289.83373206300894,0.0059434696277380706,0.0703125,,,,,,,,0.015625,0.992504894733429,0.005165261816709454,-0.0012024939879449331,1.7642258405685425
966656,293.18910877301823,0.006427778675685943,0.07559814304113388,,,,,,,,0.015625,1.0122952461242676,0.006603627607000762,-0.0006962484808727667,2.0204949378967285
974848,295.99142903400934,0.006604619790610141,0.08153076469898224,,,,,,,,0.015625,1.0170488357543945,0.004862270794243118,0.0005142951241736904,1.956702470779419
983040,298.3382691220031,0.006262908974773356,0.07467041164636612,0.001391165798538485,0.005393916633717611,0.003161512885888429,66,86.87372091033468,46.5,nan,0.015625,1.0230962038040161,0.0073830563925472055,-0.000901167507340684,1.584398627281189
991232,300.8913551279984,0.007340251360277556,0.09323730319738388,,,,,,,,0.015625,1.0215721130371094,0.009165391032792536,-0.00013016903834725736,1.6967308521270752
999424,304.1657448770129,0.006078534682096313,0.07191162556409836,,,,,,,,0.015625,1.02424156665802,0.00715138395721281,-0.0002667423479287226,1.6439430713653564
1007616,307.5390103770187,0.007109860309938912,0.08912353962659836,,,,,,,,0.015625,1.029556393623352,0.006826910194037462,-0.0008088528328359161,1.7900886535644531
1015808,310.6150153329945,0.006764061301684158,0.08596191555261612,0.0019499153774708011,0.00515032177794369,0.0023849875184409953,66,89.52697870808686,48.75,nan,0.015625,1.0386589765548706,0.004727502421221119,-0.0008272167405501285,1.96983802318573
1024000,313.8235684040119,0.005998928720726107,0.07143554836511612,,,,,,,,0.015625,1.0392032861709595,0.005357743771482449,-0.0006625195649228503,2.286816120147705
1032192,317.1695370860107,0.007166127776405654,0.08914794772863388,,,,,,,,0.015625,1.0573641061782837,0.002480661937779816,-7.032854859321068e-05,2.5904316902160645
1040384,320.5651194899983,0.006722850678989938,0.08477783203125,,,,,,,,0.015625,1.051987886428833,0.00400551252719582,0.0003556247979285478,2.8090293407440186
1048576,323.8213282659999,0.007044251873678586,0.08901367336511612,0.0013244011951770718,0.006468191505719589,0.002395921189783701,66,86.85322915261503,48.75,nan,0.015625,1.0654737949371338,0.0017743293285062635,-0.0007796299070186937,2.6335341930389404
