step,wall,approx_kl,clip_frac,eval_1mU_at_best,eval_JT_end,eval_JT_min,eval_len,eval_return,eval_t_JT_min,eval_t_first_PE,frac_done,mean_reward,min_JT,pg_loss,v_loss
8192,6.610550270997919,0.0072947265681555604,0.10175781697034836,,,,,,,,0.046875,0.5081563591957092,0.016182226302486436,-0.012886172130797378,58.60625076293945
16384,21.35440878002555,0.008778956876734731,0.11439209431409836,0.01732229028956389,0.49397974233675773,0.22337489308779693,20,6.93792560878651,5.0,nan,0.046875,0.6148970127105713,0.019529005422104662,-0.01527692107840249,25.84568214416504
24576,37.61482595000416,0.005963623476514196,0.06741943210363388,,,,,,,,0.0546875,0.7018387913703918,0.020477131866228095,-0.011415718885093247,8.38370418548584
32768,49.91811872101971,0.006751133848965996,0.08314209431409836,0.01732229028956389,0.49397974233675773,0.22337489308779693,20,6.93792560878651,5.0,nan,0.046875,0.7410702705383301,0.02836249882571943,-0.008694927405860572,0.9673349261283875
40960,62.15530170701095,0.011449923253077206,0.15703125298023224,,,,,,,,0.0546875,0.7606249451637268,0.01775741132254266,-0.01830256637054788,0.7953675985336304
49152,76.74159327201778,0.012537740499987918,0.18095703423023224,0.01732229028956389,0.49397974233675773,0.22337489308779693,20,6.93792560878651,5.0,nan,0.046875,0.7855823040008545,0.025091817128855654,-0.020313419486253804,0.91547030210495
57344,150.33014125502086,0.010530000765554338,0.14023438096046448,,,,,,,,0.046875,0.8172208666801453,0.020483380819689447,-0.014940628004436114,1.1892212629318237
65536,218.7934928460163,0.008679615874483874,0.116455078125,0.01804181196814303,0.49024230155089393,0.22386477340730332,20,7.963413785071701,5.0,nan,0.0546875,0.8552741408348083,0.015199709600936319,-0.0138905598336764,1.787421464920044
73728,297.5683026810002,0.009554752563197887,0.1300048828125,,,,,,,,0.046875,0.8915120959281921,0.009750491447909172,-0.014409656168239585,1.7271950244903564
81920,370.859156290011,0.008683627402517867,0.11531982570886612,0.003449448826400192,0.7122676414043049,0.21863383386844384,20,8.38205171528809,5.0,nan,0.0546875,0.9451205730438232,0.009409250404969018,-0.011340934761313724,1.8606207370758057
90112,444.7478886360186,0.007368176224886983,0.09589844197034836,,,,,,,,0.046875,0.9605225920677185,0.005780765147873568,-0.010221194456639044,1.817393183708191
98304,522.3777943190071,0.007040738984788514,0.08503418415784836,0.01732229028956389,0.49397974233675773,0.22337489308779693,20,6.93792560878651,5.0,nan,0.046875,0.9960224628448486,0.005542830553162881,-0.008804322402014307,1.5601359605789185
106496,590.3515581320098,0.008168060930745628,0.10281982272863388,,,,,,,,0.0546875,1.0182833671569824,0.00550435463353457,-0.009905020986972669,1.5844428539276123
114688,666.6591673520161,0.006481543189970482,0.07611083984375,0.01804181196814303,0.49024230155089393,0.22386477340730332,20,7.963413785071701,5.0,nan,0.046875,1.0382176637649536,0.00590264071935257,-0.007128136155199658,1.3923205137252808
122880,738.8885634540056,0.005819476820909542,0.06265868991613388,,,,,,,,0.0546875,1.0638072490692139,0.006018729779579901,-0.00633624469616987,1.4579442739486694
131072,814.0246074180177,0.005932883868157376,0.06910400837659836,0.01804181196814303,0.49024230155089393,0.22386477340730332,20,7.963413785071701,5.0,nan,0.046875,1.0580850839614868,0.0056977636241256294,-0.004726637108636908,1.4943196773529053
139264,896.0682633600081,0.00701966371275714,0.08372803032398224,,,,,,,,0.046875,1.100820779800415,0.0032696953486522577,-0.005967007920944112,1.2301021814346313
147456,962.0243447270186,0.004900823018956243,0.05172119289636612,0.13681930018653776,0.5435639101753461,0.17114701596492413,20,-238.46172597109143,10.0,nan,0.0546875,1.0905790328979492,0.004856964632456185,-0.0038617894642235455,1.458335518836975
155648,1033.1299492060207,0.004513724095197759,0.04415283352136612,,,,,,,,0.046875,1.095587968826294,0.0047852878999504415,-0.002823696904271436,1.3089948892593384
