step,wall,approx_kl,clip_frac,eval_1mU_at_best,eval_JT_end,eval_JT_min,eval_len,eval_return,eval_t_JT_min,eval_t_first_PE,frac_done,mean_reward,min_JT,pg_loss,v_loss
8192,6.849484217993449,0.0075142907260873975,0.10603027790784836,,,,,,,,0.046875,0.46567603945732117,0.03434187613636824,-0.013317512066045851,56.763893127441406
16384,24.263380138989305,0.009725019237694902,0.130126953125,0.011307373246675856,0.6607188540259292,0.2223274938530825,20,6.396261136725847,5.0,nan,0.046875,0.5724161863327026,0.039347679427124,-0.015961882226668677,25.08722496032715
24576,41.873411566979485,0.007029682891870032,0.08238525688648224,,,,,,,,0.0546875,0.6681324243545532,0.052285108060704515,-0.012714322207747453,6.432746887207031
32768,56.29348268598551,0.005054100178002315,0.05214843899011612,0.011307373246675856,0.6607188540259292,0.2223274938530825,20,6.396261136725847,5.0,nan,0.046875,0.70171058177948,0.06037212801594349,-0.006888185509837172,0.4986715316772461
40960,73.01009473699378,0.009012168655305812,0.12016601860523224,,,,,,,,0.0546875,0.7046676278114319,0.0629672938765704,-0.01436499459897101,0.3302376866340637
49152,145.55513165600132,0.009636103897416513,0.13835449516773224,0.011307373246675856,0.6607188540259292,0.2223274938530825,20,6.396261136725847,5.0,nan,0.046875,0.7138153314590454,0.06781906499182012,-0.01538021653392406,0.3398474156856537
57344,227.83814151599654,0.010889719416967095,0.15059815347194672,,,,,,,,0.046875,0.7312729358673096,0.05233073075552243,-0.016225948626215972,0.33746403455734253
65536,322.0073960899899,0.009835917569751926,0.13875733315944672,0.011307373246675856,0.6607188540259292,0.2223274938530825,20,6.396261136725847,5.0,nan,0.0546875,0.7443670034408569,0.035537190910817654,-0.013586229022673252,0.8297778367996216
73728,405.4282537899853,0.009814382588569278,0.13608399033546448,,,,,,,,0.046875,0.7717974185943604,0.028842717073796587,-0.013353631283555073,0.7502251267433167
81920,497.1786182889773,0.009260881531103835,0.12674561142921448,0.007799643129096756,0.4473845084476055,0.21900226193206024,20,7.179451695333893,5.0,nan,0.0546875,0.7992539405822754,0.025483652039227013,-0.011704029249047641,0.8304153680801392
90112,578.5718665960012,0.008635137075133094,0.11528320610523224,,,,,,,,0.046875,0.8132607340812683,0.03686270915156852,-0.011573064926491752,0.8354063034057617
